monthofyear,dayofmonth,weekday,Date,Hour,load,prevload
01,01,5,01/01/2010,1,2928.0,
01,01,5,01/01/2010,2,2774.0,
01,01,5,01/01/2010,3,2671.0,
01,01,5,01/01/2010,4,2610.0,
01,01,5,01/01/2010,5,2618.0,
01,01,5,01/01/2010,6,2706.0,
01,01,5,01/01/2010,7,2829.0,
01,01,5,01/01/2010,8,2967.0,
01,01,5,01/01/2010,9,3148.0,
01,01,5,01/01/2010,10,3348.0,
01,01,5,01/01/2010,11,3501.0,
01,01,5,01/01/2010,12,3555.0,
01,01,5,01/01/2010,13,3538.0,
01,01,5,01/01/2010,14,3492.0,
01,01,5,01/01/2010,15,3483.0,
01,01,5,01/01/2010,16,3540.0,
01,01,5,01/01/2010,17,3826.0,
01,01,5,01/01/2010,18,4037.0,
01,01,5,01/01/2010,19,3950.0,
01,01,5,01/01/2010,20,3799.0,
01,01,5,01/01/2010,21,3644.0,
01,01,5,01/01/2010,22,3429.0,
01,01,5,01/01/2010,23,3169.0,
01,01,5,01/01/2010,24,2923.0,
01,02,6,02/01/2010,1,2743.0,2928.0
01,02,6,02/01/2010,2,2628.0,2774.0
01,02,6,02/01/2010,3,2574.0,2671.0
01,02,6,02/01/2010,4,2557.0,2610.0
01,02,6,02/01/2010,5,2589.0,2618.0
01,02,6,02/01/2010,6,2676.0,2706.0
01,02,6,02/01/2010,7,2853.0,2829.0
01,02,6,02/01/2010,8,3069.0,2967.0
01,02,6,02/01/2010,9,3322.0,3148.0
01,02,6,02/01/2010,10,3539.0,3348.0
01,02,6,02/01/2010,11,3666.0,3501.0
01,02,6,02/01/2010,12,3733.0,3555.0
01,02,6,02/01/2010,13,3730.0,3538.0
01,02,6,02/01/2010,14,3689.0,3492.0
01,02,6,02/01/2010,15,3651.0,3483.0
01,02,6,02/01/2010,16,3690.0,3540.0
01,02,6,02/01/2010,17,3991.0,3826.0
01,02,6,02/01/2010,18,4218.0,4037.0
01,02,6,02/01/2010,19,4141.0,3950.0
01,02,6,02/01/2010,20,3978.0,3799.0
01,02,6,02/01/2010,21,3811.0,3644.0
01,02,6,02/01/2010,22,3585.0,3429.0
01,02,6,02/01/2010,23,3316.0,3169.0
01,02,6,02/01/2010,24,3088.0,2923.0
01,03,7,03/01/2010,1,2901.0,2743.0
01,03,7,03/01/2010,2,2795.0,2628.0
01,03,7,03/01/2010,3,2726.0,2574.0
01,03,7,03/01/2010,4,2696.0,2557.0
01,03,7,03/01/2010,5,2698.0,2589.0
01,03,7,03/01/2010,6,2785.0,2676.0
01,03,7,03/01/2010,7,2935.0,2853.0
01,03,7,03/01/2010,8,3096.0,3069.0
01,03,7,03/01/2010,9,3330.0,3322.0
01,03,7,03/01/2010,10,3537.0,3539.0
01,03,7,03/01/2010,11,3617.0,3666.0
01,03,7,03/01/2010,12,3680.0,3733.0
01,03,7,03/01/2010,13,3709.0,3730.0
01,03,7,03/01/2010,14,3682.0,3689.0
01,03,7,03/01/2010,15,3650.0,3651.0
01,03,7,03/01/2010,16,3707.0,3690.0
01,03,7,03/01/2010,17,4024.0,3991.0
01,03,7,03/01/2010,18,4226.0,4218.0
01,03,7,03/01/2010,19,4132.0,4141.0
01,03,7,03/01/2010,20,3976.0,3978.0
01,03,7,03/01/2010,21,3748.0,3811.0
01,03,7,03/01/2010,22,3462.0,3585.0
01,03,7,03/01/2010,23,3144.0,3316.0
01,03,7,03/01/2010,24,2904.0,3088.0
01,04,1,04/01/2010,1,2747.0,2901.0
01,04,1,04/01/2010,2,2643.0,2795.0
01,04,1,04/01/2010,3,2609.0,2726.0
01,04,1,04/01/2010,4,2653.0,2696.0
01,04,1,04/01/2010,5,2762.0,2698.0
01,04,1,04/01/2010,6,3060.0,2785.0
01,04,1,04/01/2010,7,3538.0,2935.0
01,04,1,04/01/2010,8,3733.0,3096.0
01,04,1,04/01/2010,9,3768.0,3330.0
01,04,1,04/01/2010,10,3774.0,3537.0
01,04,1,04/01/2010,11,3805.0,3617.0
01,04,1,04/01/2010,12,3831.0,3680.0
01,04,1,04/01/2010,13,3817.0,3709.0
01,04,1,04/01/2010,14,3799.0,3682.0
01,04,1,04/01/2010,15,3768.0,3650.0
01,04,1,04/01/2010,16,3803.0,3707.0
01,04,1,04/01/2010,17,4047.0,4024.0
01,04,1,04/01/2010,18,4328.0,4226.0
01,04,1,04/01/2010,19,4327.0,4132.0
01,04,1,04/01/2010,20,4193.0,3976.0
01,04,1,04/01/2010,21,4003.0,3748.0
01,04,1,04/01/2010,22,3719.0,3462.0
01,04,1,04/01/2010,23,3367.0,3144.0
01,04,1,04/01/2010,24,3079.0,2904.0
01,05,2,05/01/2010,1,2884.0,2747.0
01,05,2,05/01/2010,2,2799.0,2643.0
01,05,2,05/01/2010,3,2762.0,2609.0
01,05,2,05/01/2010,4,2762.0,2653.0
01,05,2,05/01/2010,5,2858.0,2762.0
01,05,2,05/01/2010,6,3149.0,3060.0
01,05,2,05/01/2010,7,3640.0,3538.0
01,05,2,05/01/2010,8,3851.0,3733.0
01,05,2,05/01/2010,9,3841.0,3768.0
01,05,2,05/01/2010,10,3854.0,3774.0
01,05,2,05/01/2010,11,3875.0,3805.0
01,05,2,05/01/2010,12,3887.0,3831.0
01,05,2,05/01/2010,13,3875.0,3817.0
01,05,2,05/01/2010,14,3861.0,3799.0
01,05,2,05/01/2010,15,3838.0,3768.0
01,05,2,05/01/2010,16,3825.0,3803.0
01,05,2,05/01/2010,17,4069.0,4047.0
01,05,2,05/01/2010,18,4323.0,4328.0
01,05,2,05/01/2010,19,4316.0,4327.0
01,05,2,05/01/2010,20,4191.0,4193.0
01,05,2,05/01/2010,21,4004.0,4003.0
01,05,2,05/01/2010,22,3730.0,3719.0
01,05,2,05/01/2010,23,3372.0,3367.0
01,05,2,05/01/2010,24,3090.0,3079.0
01,06,3,06/01/2010,1,2907.0,2884.0
01,06,3,06/01/2010,2,2818.0,2799.0
01,06,3,06/01/2010,3,2778.0,2762.0
01,06,3,06/01/2010,4,2774.0,2762.0
01,06,3,06/01/2010,5,2862.0,2858.0
01,06,3,06/01/2010,6,3150.0,3149.0
01,06,3,06/01/2010,7,3658.0,3640.0
01,06,3,06/01/2010,8,3874.0,3851.0
01,06,3,06/01/2010,9,3853.0,3841.0
01,06,3,06/01/2010,10,3849.0,3854.0
01,06,3,06/01/2010,11,3849.0,3875.0
01,06,3,06/01/2010,12,3848.0,3887.0
01,06,3,06/01/2010,13,3821.0,3875.0
01,06,3,06/01/2010,14,3798.0,3861.0
01,06,3,06/01/2010,15,3766.0,3838.0
01,06,3,06/01/2010,16,3806.0,3825.0
01,06,3,06/01/2010,17,4073.0,4069.0
01,06,3,06/01/2010,18,4313.0,4323.0
01,06,3,06/01/2010,19,4305.0,4316.0
01,06,3,06/01/2010,20,4198.0,4191.0
01,06,3,06/01/2010,21,4020.0,4004.0
01,06,3,06/01/2010,22,3737.0,3730.0
01,06,3,06/01/2010,23,3377.0,3372.0
01,06,3,06/01/2010,24,3100.0,3090.0
01,07,4,07/01/2010,1,2921.0,2907.0
01,07,4,07/01/2010,2,2824.0,2818.0
01,07,4,07/01/2010,3,2795.0,2778.0
01,07,4,07/01/2010,4,2802.0,2774.0
01,07,4,07/01/2010,5,2910.0,2862.0
01,07,4,07/01/2010,6,3193.0,3150.0
01,07,4,07/01/2010,7,3684.0,3658.0
01,07,4,07/01/2010,8,3901.0,3874.0
01,07,4,07/01/2010,9,3889.0,3853.0
01,07,4,07/01/2010,10,3887.0,3849.0
01,07,4,07/01/2010,11,3881.0,3849.0
01,07,4,07/01/2010,12,3859.0,3848.0
01,07,4,07/01/2010,13,3795.0,3821.0
01,07,4,07/01/2010,14,3767.0,3798.0
01,07,4,07/01/2010,15,3713.0,3766.0
01,07,4,07/01/2010,16,3734.0,3806.0
01,07,4,07/01/2010,17,4002.0,4073.0
01,07,4,07/01/2010,18,4278.0,4313.0
01,07,4,07/01/2010,19,4266.0,4305.0
01,07,4,07/01/2010,20,4149.0,4198.0
01,07,4,07/01/2010,21,3989.0,4020.0
01,07,4,07/01/2010,22,3717.0,3737.0
01,07,4,07/01/2010,23,3383.0,3377.0
01,07,4,07/01/2010,24,3105.0,3100.0
01,08,5,08/01/2010,1,2923.0,2921.0
01,08,5,08/01/2010,2,2833.0,2824.0
01,08,5,08/01/2010,3,2789.0,2795.0
01,08,5,08/01/2010,4,2795.0,2802.0
01,08,5,08/01/2010,5,2898.0,2910.0
01,08,5,08/01/2010,6,3182.0,3193.0
01,08,5,08/01/2010,7,3677.0,3684.0
01,08,5,08/01/2010,8,3914.0,3901.0
01,08,5,08/01/2010,9,3928.0,3889.0
01,08,5,08/01/2010,10,3966.0,3887.0
01,08,5,08/01/2010,11,3994.0,3881.0
01,08,5,08/01/2010,12,3971.0,3859.0
01,08,5,08/01/2010,13,3921.0,3795.0
01,08,5,08/01/2010,14,3889.0,3767.0
01,08,5,08/01/2010,15,3841.0,3713.0
01,08,5,08/01/2010,16,3846.0,3734.0
01,08,5,08/01/2010,17,4069.0,4002.0
01,08,5,08/01/2010,18,4249.0,4278.0
01,08,5,08/01/2010,19,4183.0,4266.0
01,08,5,08/01/2010,20,4062.0,4149.0
01,08,5,08/01/2010,21,3896.0,3989.0
01,08,5,08/01/2010,22,3687.0,3717.0
01,08,5,08/01/2010,23,3398.0,3383.0
01,08,5,08/01/2010,24,3128.0,3105.0
01,09,6,09/01/2010,1,2924.0,2923.0
01,09,6,09/01/2010,2,2823.0,2833.0
01,09,6,09/01/2010,3,2776.0,2789.0
01,09,6,09/01/2010,4,2761.0,2795.0
01,09,6,09/01/2010,5,2800.0,2898.0
01,09,6,09/01/2010,6,2916.0,3182.0
01,09,6,09/01/2010,7,3139.0,3677.0
01,09,6,09/01/2010,8,3370.0,3914.0
01,09,6,09/01/2010,9,3598.0,3928.0
01,09,6,09/01/2010,10,3752.0,3966.0
01,09,6,09/01/2010,11,3789.0,3994.0
01,09,6,09/01/2010,12,3765.0,3971.0
01,09,6,09/01/2010,13,3699.0,3921.0
01,09,6,09/01/2010,14,3634.0,3889.0
01,09,6,09/01/2010,15,3591.0,3841.0
01,09,6,09/01/2010,16,3633.0,3846.0
01,09,6,09/01/2010,17,3899.0,4069.0
01,09,6,09/01/2010,18,4182.0,4249.0
01,09,6,09/01/2010,19,4139.0,4183.0
01,09,6,09/01/2010,20,4017.0,4062.0
01,09,6,09/01/2010,21,3884.0,3896.0
01,09,6,09/01/2010,22,3702.0,3687.0
01,09,6,09/01/2010,23,3449.0,3398.0
01,09,6,09/01/2010,24,3206.0,3128.0
01,10,7,10/01/2010,1,3035.0,2924.0
01,10,7,10/01/2010,2,2944.0,2823.0
01,10,7,10/01/2010,3,2890.0,2776.0
01,10,7,10/01/2010,4,2879.0,2761.0
01,10,7,10/01/2010,5,2904.0,2800.0
01,10,7,10/01/2010,6,2993.0,2916.0
01,10,7,10/01/2010,7,3166.0,3139.0
01,10,7,10/01/2010,8,3367.0,3370.0
01,10,7,10/01/2010,9,3610.0,3598.0
01,10,7,10/01/2010,10,3761.0,3752.0
01,10,7,10/01/2010,11,3807.0,3789.0
01,10,7,10/01/2010,12,3815.0,3765.0
01,10,7,10/01/2010,13,3786.0,3699.0
01,10,7,10/01/2010,14,3727.0,3634.0
01,10,7,10/01/2010,15,3670.0,3591.0
01,10,7,10/01/2010,16,3685.0,3633.0
01,10,7,10/01/2010,17,3982.0,3899.0
01,10,7,10/01/2010,18,4258.0,4182.0
01,10,7,10/01/2010,19,4206.0,4139.0
01,10,7,10/01/2010,20,4070.0,4017.0
01,10,7,10/01/2010,21,3878.0,3884.0
01,10,7,10/01/2010,22,3596.0,3702.0
01,10,7,10/01/2010,23,3282.0,3449.0
01,10,7,10/01/2010,24,3049.0,3206.0
01,11,1,11/01/2010,1,2907.0,3035.0
01,11,1,11/01/2010,2,2834.0,2944.0
01,11,1,11/01/2010,3,2813.0,2890.0
01,11,1,11/01/2010,4,2820.0,2879.0
01,11,1,11/01/2010,5,2934.0,2904.0
01,11,1,11/01/2010,6,3242.0,2993.0
01,11,1,11/01/2010,7,3769.0,3166.0
01,11,1,11/01/2010,8,3968.0,3367.0
01,11,1,11/01/2010,9,3966.0,3610.0
01,11,1,11/01/2010,10,3957.0,3761.0
01,11,1,11/01/2010,11,3982.0,3807.0
01,11,1,11/01/2010,12,3971.0,3815.0
01,11,1,11/01/2010,13,3931.0,3786.0
01,11,1,11/01/2010,14,3894.0,3727.0
01,11,1,11/01/2010,15,3833.0,3670.0
01,11,1,11/01/2010,16,3843.0,3685.0
01,11,1,11/01/2010,17,4084.0,3982.0
01,11,1,11/01/2010,18,4331.0,4258.0
01,11,1,11/01/2010,19,4310.0,4206.0
01,11,1,11/01/2010,20,4182.0,4070.0
01,11,1,11/01/2010,21,3979.0,3878.0
01,11,1,11/01/2010,22,3678.0,3596.0
01,11,1,11/01/2010,23,3335.0,3282.0
