monthofyear,dayofmonth,weekday,Date,Hour,load,prevload,T
01,01,7,01-01-2006,1,3010.0,,22.67
01,01,7,01-01-2006,2,2853.0,,20.67
01,01,7,01-01-2006,3,2758.0,,21.33
01,01,7,01-01-2006,4,2705.0,,19.0
01,01,7,01-01-2006,5,2709.0,,19.33
01,01,7,01-01-2006,6,2753.0,,18.67
01,01,7,01-01-2006,7,2849.0,,18.0
01,01,7,01-01-2006,8,3008.0,,17.67
01,01,7,01-01-2006,9,3243.0,,19.0
01,01,7,01-01-2006,10,3468.0,,19.67
01,01,7,01-01-2006,11,3598.0,,19.33
01,01,7,01-01-2006,12,3673.0,,20.33
01,01,7,01-01-2006,13,3695.0,,21.0
01,01,7,01-01-2006,14,3640.0,,22.0
01,01,7,01-01-2006,15,3592.0,,22.67
01,01,7,01-01-2006,16,3626.0,,23.0
01,01,7,01-01-2006,17,3924.0,,23.33
01,01,7,01-01-2006,18,4159.0,,23.67
01,01,7,01-01-2006,19,4095.0,,23.67
01,01,7,01-01-2006,20,3967.0,,23.67
01,01,7,01-01-2006,21,3817.0,,23.33
01,01,7,01-01-2006,22,3556.0,,24.0
01,01,7,01-01-2006,23,3255.0,,24.33
01,01,7,01-01-2006,24,2985.0,,24.33
01,02,1,02-01-2006,1,2783.0,3010.0,24.33
01,02,1,02-01-2006,2,2683.0,2853.0,24.0
01,02,1,02-01-2006,3,2639.0,2758.0,24.0
01,02,1,02-01-2006,4,2639.0,2705.0,24.0
01,02,1,02-01-2006,5,2694.0,2709.0,24.0
01,02,1,02-01-2006,6,2845.0,2753.0,24.0
01,02,1,02-01-2006,7,3094.0,2849.0,21.67
01,02,1,02-01-2006,8,3326.0,3008.0,21.67
01,02,1,02-01-2006,9,3522.0,3243.0,21.67
01,02,1,02-01-2006,10,3701.0,3468.0,22.67
01,02,1,02-01-2006,11,3750.0,3598.0,26.67
01,02,1,02-01-2006,12,3721.0,3673.0,29.0
01,02,1,02-01-2006,13,3635.0,3695.0,33.0
01,02,1,02-01-2006,14,3566.0,3640.0,36.33
01,02,1,02-01-2006,15,3515.0,3592.0,36.67
01,02,1,02-01-2006,16,3582.0,3626.0,37.0
01,02,1,02-01-2006,17,3949.0,3924.0,34.67
01,02,1,02-01-2006,18,4251.0,4159.0,30.33
01,02,1,02-01-2006,19,4201.0,4095.0,29.67
01,02,1,02-01-2006,20,4090.0,3967.0,28.0
01,02,1,02-01-2006,21,3898.0,3817.0,28.33
01,02,1,02-01-2006,22,3594.0,3556.0,29.33
01,02,1,02-01-2006,23,3210.0,3255.0,29.0
01,02,1,02-01-2006,24,2913.0,2985.0,29.0
01,03,2,03-01-2006,1,2734.0,2783.0,29.67
01,03,2,03-01-2006,2,2661.0,2683.0,29.33
01,03,2,03-01-2006,3,2624.0,2639.0,28.67
01,03,2,03-01-2006,4,2641.0,2639.0,28.33
01,03,2,03-01-2006,5,2742.0,2694.0,29.0
01,03,2,03-01-2006,6,3051.0,2845.0,28.33
01,03,2,03-01-2006,7,3601.0,3094.0,28.0
01,03,2,03-01-2006,8,3886.0,3326.0,28.0
01,03,2,03-01-2006,9,3910.0,3522.0,27.0
01,03,2,03-01-2006,10,3944.0,3701.0,27.0
01,03,2,03-01-2006,11,3975.0,3750.0,27.67
01,03,2,03-01-2006,12,3961.0,3721.0,27.33
01,03,2,03-01-2006,13,3928.0,3635.0,27.33
01,03,2,03-01-2006,14,3883.0,3566.0,28.33
01,03,2,03-01-2006,15,3835.0,3515.0,27.33
01,03,2,03-01-2006,16,3857.0,3582.0,27.33
01,03,2,03-01-2006,17,4135.0,3949.0,26.67
01,03,2,03-01-2006,18,4420.0,4251.0,24.33
01,03,2,03-01-2006,19,4396.0,4201.0,24.0
01,03,2,03-01-2006,20,4283.0,4090.0,22.67
01,03,2,03-01-2006,21,4114.0,3898.0,21.33
01,03,2,03-01-2006,22,3815.0,3594.0,20.33
