date,hour,weekday,month,load,Temp
1/1/2004,1,4,1,126259.0,38.0
1/1/2004,2,4,1,123313.0,36.0
1/1/2004,3,4,1,119192.0,35.0
1/1/2004,4,4,1,117507.0,30.0
1/1/2004,5,4,1,118343.0,30.0
1/1/2004,6,4,1,121228.0,29.0
1/1/2004,7,4,1,126731.0,28.0
1/1/2004,8,4,1,132289.0,28.0
1/1/2004,9,4,1,139941.0,28.0
1/1/2004,10,4,1,141950.0,33.0
1/1/2004,11,4,1,145109.0,42.0
1/1/2004,12,4,1,144759.0,47.0
1/1/2004,13,4,1,141531.0,52.0
1/1/2004,14,4,1,133288.0,54.0
1/1/2004,15,4,1,127683.0,55.0
1/1/2004,16,4,1,126829.0,56.0
1/1/2004,17,4,1,135163.0,56.0
1/1/2004,18,4,1,155436.0,52.0
1/1/2004,19,4,1,157850.0,47.0
1/1/2004,20,4,1,156840.0,46.0
1/1/2004,21,4,1,153354.0,46.0
1/1/2004,22,4,1,146976.0,45.0
1/1/2004,23,4,1,137713.0,46.0
1/1/2004,24,4,1,128023.0,46.0
2/1/2004,1,5,1,123452.0,45.0
2/1/2004,2,5,1,122307.0,44.0
2/1/2004,3,5,1,122181.0,44.0
2/1/2004,4,5,1,123402.0,45.0
2/1/2004,5,5,1,125753.0,45.0
2/1/2004,6,5,1,136545.0,44.0
2/1/2004,7,5,1,148228.0,43.0
2/1/2004,8,5,1,162001.0,43.0
2/1/2004,9,5,1,170452.0,46.0
2/1/2004,10,5,1,177574.0,48.0
2/1/2004,11,5,1,177483.0,48.0
2/1/2004,12,5,1,175004.0,50.0
2/1/2004,13,5,1,170230.0,51.0
2/1/2004,14,5,1,164954.0,52.0
2/1/2004,15,5,1,158348.0,53.0
2/1/2004,16,5,1,152831.0,55.0
2/1/2004,17,5,1,157929.0,56.0
2/1/2004,18,5,1,172990.0,54.0
2/1/2004,19,5,1,173428.0,53.0
2/1/2004,20,5,1,170181.0,52.0
2/1/2004,21,5,1,166181.0,51.0
2/1/2004,22,5,1,158356.0,49.0
2/1/2004,23,5,1,148420.0,51.0
2/1/2004,24,5,1,138500.0,50.0
3/1/2004,1,6,1,130182.0,47.0
3/1/2004,2,6,1,124364.0,50.0
3/1/2004,3,6,1,123600.0,49.0
3/1/2004,4,6,1,120988.0,50.0
3/1/2004,5,6,1,123705.0,48.0
3/1/2004,6,6,1,127443.0,46.0
3/1/2004,7,6,1,134807.0,50.0
3/1/2004,8,6,1,144073.0,48.0
3/1/2004,9,6,1,152595.0,50.0
3/1/2004,10,6,1,158025.0,52.0
3/1/2004,11,6,1,157332.0,57.0
3/1/2004,12,6,1,153931.0,62.0
3/1/2004,13,6,1,146908.0,65.0
3/1/2004,14,6,1,140610.0,68.0
3/1/2004,15,6,1,135560.0,69.0
3/1/2004,16,6,1,133765.0,69.0
3/1/2004,17,6,1,138726.0,68.0
3/1/2004,18,6,1,150984.0,65.0
3/1/2004,19,6,1,152345.0,63.0
3/1/2004,20,6,1,147845.0,62.0
3/1/2004,21,6,1,144511.0,60.0
3/1/2004,22,6,1,138388.0,60.0
3/1/2004,23,6,1,129705.0,61.0
3/1/2004,24,6,1,119263.0,60.0
4/1/2004,1,7,1,108757.0,61.0
4/1/2004,2,7,1,105143.0,59.0
4/1/2004,3,7,1,103200.0,59.0
4/1/2004,4,7,1,101196.0,60.0
4/1/2004,5,7,1,102319.0,59.0
4/1/2004,6,7,1,103599.0,60.0
4/1/2004,7,7,1,110289.0,59.0
4/1/2004,8,7,1,120205.0,58.0
4/1/2004,9,7,1,130892.0,59.0
4/1/2004,10,7,1,140253.0,59.0
4/1/2004,11,7,1,139085.0,63.0
4/1/2004,12,7,1,137948.0,63.0
4/1/2004,13,7,1,139817.0,65.0
4/1/2004,14,7,1,137767.0,65.0
4/1/2004,15,7,1,139200.0,65.0
4/1/2004,16,7,1,141458.0,65.0
4/1/2004,17,7,1,150109.0,66.0
4/1/2004,18,7,1,161203.0,65.0
4/1/2004,19,7,1,162475.0,64.0
4/1/2004,20,7,1,159557.0,62.0
4/1/2004,21,7,1,156811.0,61.0
4/1/2004,22,7,1,151444.0,61.0
4/1/2004,23,7,1,140255.0,62.0
4/1/2004,24,7,1,129636.0,62.0
5/1/2004,1,1,1,125411.0,63.0
5/1/2004,2,1,1,123713.0,62.0
5/1/2004,3,1,1,124282.0,62.0
5/1/2004,4,1,1,127951.0,63.0
5/1/2004,5,1,1,131728.0,62.0
5/1/2004,6,1,1,147578.0,60.0
5/1/2004,7,1,1,172545.0,60.0
5/1/2004,8,1,1,184501.0,60.0
5/1/2004,9,1,1,182812.0,58.0
5/1/2004,10,1,1,181902.0,58.0
5/1/2004,11,1,1,183471.0,57.0
5/1/2004,12,1,1,179722.0,57.0
5/1/2004,13,1,1,179073.0,56.0
5/1/2004,14,1,1,177942.0,56.0
5/1/2004,15,1,1,174631.0,54.0
5/1/2004,16,1,1,174394.0,52.0
5/1/2004,17,1,1,178327.0,51.0
5/1/2004,18,1,1,193039.0,50.0
5/1/2004,19,1,1,197924.0,49.0
5/1/2004,20,1,1,196714.0,46.0
5/1/2004,21,1,1,192134.0,44.0
5/1/2004,22,1,1,184391.0,41.0
5/1/2004,23,1,1,171979.0,40.0
5/1/2004,24,1,1,159349.0,36.0
6/1/2004,1,2,1,153656.0,33.0
