date,day,hour,load,month,weekday,zone,Temp
1/1/2004,1,1,"75,243",1,4,9,41.0
1/1/2004,1,2,"67,368",1,4,9,39.0
1/1/2004,1,3,"64,050",1,4,9,36.0
1/1/2004,1,4,"63,861",1,4,9,35.0
1/1/2004,1,5,"75,852",1,4,9,33.0
1/1/2004,1,6,"79,989",1,4,9,36.0
1/1/2004,1,7,"80,073",1,4,9,32.0
1/1/2004,1,8,"75,852",1,4,9,31.0
1/1/2004,1,9,"69,552",1,4,9,31.0
1/1/2004,1,10,"69,888",1,4,9,35.0
1/1/2004,1,11,"66,549",1,4,9,40.0
1/1/2004,1,12,"65,625",1,4,9,47.0
1/1/2004,1,13,"65,604",1,4,9,52.0
1/1/2004,1,14,"65,877",1,4,9,55.0
1/1/2004,1,15,"65,667",1,4,9,56.0
1/1/2004,1,16,"65,625",1,4,9,56.0
1/1/2004,1,17,"64,932",1,4,9,55.0
1/1/2004,1,18,"66,129",1,4,9,48.0
1/1/2004,1,19,"65,121",1,4,9,44.0
1/1/2004,1,20,"64,911",1,4,9,38.0
1/1/2004,1,21,"64,911",1,4,9,37.0
1/1/2004,1,22,"65,352",1,4,9,37.0
1/1/2004,1,23,"73,605",1,4,9,37.0
1/1/2004,1,24,"76,482",1,4,9,38.0
2/1/2004,2,1,"76,545",1,5,9,40.0
2/1/2004,2,2,"80,850",1,5,9,41.0
2/1/2004,2,3,"80,850",1,5,9,42.0
2/1/2004,2,4,"81,165",1,5,9,44.0
2/1/2004,2,5,"80,619",1,5,9,44.0
2/1/2004,2,6,"79,842",1,5,9,44.0
2/1/2004,2,7,"66,864",1,5,9,44.0
2/1/2004,2,8,"68,229",1,5,9,41.0
2/1/2004,2,9,"66,801",1,5,9,43.0
2/1/2004,2,10,"67,095",1,5,9,43.0
2/1/2004,2,11,"66,549",1,5,9,45.0
2/1/2004,2,12,"65,730",1,5,9,45.0
2/1/2004,2,13,"63,777",1,5,9,48.0
2/1/2004,2,14,"61,530",1,5,9,52.0
2/1/2004,2,15,"61,614",1,5,9,54.0
2/1/2004,2,16,"61,782",1,5,9,55.0
2/1/2004,2,17,"62,811",1,5,9,56.0
2/1/2004,2,18,"63,714",1,5,9,53.0
2/1/2004,2,19,"67,515",1,5,9,47.0
2/1/2004,2,20,"76,419",1,5,9,49.0
2/1/2004,2,21,"79,653",1,5,9,45.0
2/1/2004,2,22,"79,296",1,5,9,44.0
2/1/2004,2,23,"78,603",1,5,9,45.0
2/1/2004,2,24,"67,431",1,5,9,44.0
3/1/2004,3,1,"78,519",1,6,9,45.0
3/1/2004,3,2,"78,561",1,6,9,45.0
3/1/2004,3,3,"78,540",1,6,9,45.0
3/1/2004,3,4,"78,099",1,6,9,45.0
3/1/2004,3,5,"77,679",1,6,9,45.0
3/1/2004,3,6,"77,868",1,6,9,45.0
3/1/2004,3,7,"77,952",1,6,9,45.0
