date,time,temp,humid,windspd
1/1/2010,1,24.00,57.00,5.60
1/1/2010,2,24.00,61.00,0.00
1/1/2010,3,22.67,61.67,4.33
1/1/2010,4,24.00,53.00,9.30
1/1/2010,5,23.00,61.00,2.80
1/1/2010,6,22.00,58.00,3.70
1/1/2010,7,24.00,53.00,13.00
1/1/2010,8,24.00,48.50,12.05
1/1/2010,9,23.00,45.00,0.00
1/1/2010,10,25.00,47.00,9.30
1/1/2010,11,27.50,40.50,13.90
1/1/2010,12,29.00,35.67,10.53
1/1/2010,13,30.50,36.00,10.20
1/1/2010,14,32.00,36.00,8.35
1/1/2010,15,32.33,35.67,11.73
1/1/2010,16,30.50,47.00,17.60
1/1/2010,17,31.00,40.50,13.90
1/1/2010,18,29.33,43.00,11.13
1/1/2010,19,28.00,58.00,11.10
1/1/2010,20,27.50,56.00,9.25
1/1/2010,21,27.33,50.33,7.40
1/1/2010,22,27.00,51.00,5.60
1/1/2010,23,27.00,51.00,9.30
1/1/2010,24,26.00,55.33,3.73
2/1/2010,1,27.00,54.00,7.45
2/1/2010,2,26.50,55.50,7.45
2/1/2010,3,24.33,60.00,7.43
2/1/2010,4,25.00,57.00,5.60
2/1/2010,5,25.00,57.00,6.50
2/1/2010,6,23.50,65.00,0.00
2/1/2010,7,24.00,65.00,6.50
2/1/2010,8,25.00,59.00,6.50
2/1/2010,9,24.67,56.33,5.57
2/1/2010,10,26.00,52.50,7.40
2/1/2010,11,29.00,42.00,13.90
2/1/2010,12,31.00,34.00,11.10
2/1/2010,13,31.50,39.00,11.10
2/1/2010,14,33.00,38.00,11.10
2/1/2010,15,33.50,32.00,13.90
2/1/2010,16,32.50,42.00,14.80
2/1/2010,17,31.00,47.50,14.80
2/1/2010,18,29.67,50.67,11.77
2/1/2010,19,29.00,53.00,10.20
2/1/2010,20,28.00,54.00,11.10
2/1/2010,21,28.00,58.33,6.80
2/1/2010,22,28.00,60.00,10.20
2/1/2010,23,27.50,68.00,7.40
2/1/2010,24,26.33,69.33,3.10
3/1/2010,1,27.00,63.00,7.45
3/1/2010,2,27.00,61.00,9.25
3/1/2010,3,26.00,65.00,2.47
3/1/2010,4,26.50,63.00,4.65
3/1/2010,5,26.00,65.00,3.70
3/1/2010,6,25.00,70.67,3.10
3/1/2010,7,26.00,69.00,7.40
3/1/2010,8,25.00,74.00,0.00
3/1/2010,9,25.00,72.00,6.20
3/1/2010,10,26.50,65.00,7.40
3/1/2010,11,28.00,58.00,7.40
3/1/2010,12,30.00,50.50,5.55
3/1/2010,13,29.50,60.00,11.10
3/1/2010,14,30.00,58.00,12.05
3/1/2010,15,30.33,52.67,14.80
3/1/2010,16,29.00,60.00,18.55
3/1/2010,17,27.50,63.50,17.60
3/1/2010,18,26.50,59.00,13.90
3/1/2010,19,27.00,61.00,7.40
3/1/2010,20,26.00,69.00,12.05
3/1/2010,21,26.00,64.00,10.50
3/1/2010,22,26.00,65.00,8.35
3/1/2010,23,26.00,63.00,11.10
3/1/2010,24,24.50,63.00,7.45
4/1/2010,1,25.00,65.00,5.60
4/1/2010,2,25.00,65.00,0.00
4/1/2010,3,23.67,66.67,4.33
4/1/2010,4,24.00,61.00,8.35
4/1/2010,5,24.00,61.00,9.30
4/1/2010,6,23.00,62.00,8.07
4/1/2010,7,23.00,65.00,8.35
4/1/2010,8,23.00,65.00,11.15
4/1/2010,9,22.50,65.50,5.55
4/1/2010,10,24.00,65.00,11.10
4/1/2010,11,26.00,57.00,5.60
4/1/2010,12,27.67,49.00,8.67
4/1/2010,13,29.00,49.50,13.00
4/1/2010,14,29.00,53.00,20.35
4/1/2010,15,28.67,53.67,14.80
4/1/2010,16,28.00,58.00,14.80
4/1/2010,17,27.50,58.00,18.50
4/1/2010,18,26.67,55.67,15.43
4/1/2010,19,25.50,65.00,13.00
4/1/2010,20,25.00,69.00,14.80
4/1/2010,21,24.33,71.00,11.73
4/1/2010,22,24.00,75.50,13.00
4/1/2010,23,23.50,80.50,12.05
4/1/2010,24,23.00,79.67,4.33
5/1/2010,1,23.00,78.00,5.60
5/1/2010,2,23.00,78.00,2.80
5/1/2010,3,21.67,82.33,2.47
5/1/2010,4,22.00,78.00,0.00
5/1/2010,5,21.50,85.50,0.00
5/1/2010,6,20.33,87.67,0.00
5/1/2010,7,21.00,83.00,3.70
5/1/2010,8,21.00,83.00,0.00
5/1/2010,9,20.50,82.50,0.00
5/1/2010,10,23.00,78.00,0.00
5/1/2010,11,26.50,55.50,5.60
5/1/2010,12,27.50,47.50,2.80
5/1/2010,13,29.00,48.00,5.60
5/1/2010,14,29.00,55.00,12.95
5/1/2010,15,30.00,43.00,11.10
5/1/2010,16,29.00,53.00,16.70
5/1/2010,17,29.00,56.50,13.90
5/1/2010,18,28.00,53.33,13.00
5/1/2010,19,27.00,61.00,13.00
5/1/2010,20,26.00,67.00,11.10
5/1/2010,21,25.00,73.67,5.57
5/1/2010,22,25.00,74.00,6.50
5/1/2010,23,25.00,74.00,0.00
5/1/2010,24,23.33,76.00,0.00
6/1/2010,1,24.00,78.00,0.00
6/1/2010,2,23.00,78.00,0.00
6/1/2010,3,22.00,80.67,0.00
6/1/2010,4,23.00,78.00,0.00
6/1/2010,5,24.00,65.00,5.60
6/1/2010,6,22.33,67.67,6.17
6/1/2010,7,23.00,69.00,10.20
6/1/2010,8,24.00,61.00,14.80
6/1/2010,9,24.33,57.00,10.53
6/1/2010,10,25.50,55.50,12.95
6/1/2010,11,28.00,48.00,11.10
6/1/2010,12,29.00,40.00,7.45
6/1/2010,13,30.50,40.50,9.25
6/1/2010,14,32.00,36.00,10.20
6/1/2010,15,32.33,31.33,4.97
6/1/2010,16,31.00,47.50,16.65
6/1/2010,17,30.00,51.00,12.05
6/1/2010,18,29.00,53.00,9.90
6/1/2010,19,27.00,65.00,7.40
6/1/2010,20,27.00,61.00,7.40
