,monthofyear,dayofmonth,weekday,Date,Hour,load,prevload,T,lasthr
25,1,2,1,02-01-2006,2,2683.0,2853.0,24.0,2783.0
26,1,2,1,02-01-2006,3,2639.0,2758.0,24.0,2683.0
27,1,2,1,02-01-2006,4,2639.0,2705.0,24.0,2639.0
28,1,2,1,02-01-2006,5,2694.0,2709.0,24.0,2639.0
29,1,2,1,02-01-2006,6,2845.0,2753.0,24.0,2694.0
30,1,2,1,02-01-2006,7,3094.0,2849.0,21.67,2845.0
31,1,2,1,02-01-2006,8,3326.0,3008.0,21.67,3094.0
32,1,2,1,02-01-2006,9,3522.0,3243.0,21.67,3326.0
33,1,2,1,02-01-2006,10,3701.0,3468.0,22.67,3522.0
34,1,2,1,02-01-2006,11,3750.0,3598.0,26.67,3701.0
35,1,2,1,02-01-2006,12,3721.0,3673.0,29.0,3750.0
36,1,2,1,02-01-2006,13,3635.0,3695.0,33.0,3721.0
37,1,2,1,02-01-2006,14,3566.0,3640.0,36.33,3635.0
38,1,2,1,02-01-2006,15,3515.0,3592.0,36.67,3566.0
39,1,2,1,02-01-2006,16,3582.0,3626.0,37.0,3515.0
40,1,2,1,02-01-2006,17,3949.0,3924.0,34.67,3582.0
41,1,2,1,02-01-2006,18,4251.0,4159.0,30.33,3949.0
42,1,2,1,02-01-2006,19,4201.0,4095.0,29.67,4251.0
43,1,2,1,02-01-2006,20,4090.0,3967.0,28.0,4201.0
44,1,2,1,02-01-2006,21,3898.0,3817.0,28.33,4090.0
45,1,2,1,02-01-2006,22,3594.0,3556.0,29.33,3898.0
46,1,2,1,02-01-2006,23,3210.0,3255.0,29.0,3594.0
47,1,2,1,02-01-2006,24,2913.0,2985.0,29.0,3210.0
48,1,3,2,03-01-2006,1,2734.0,2783.0,29.67,2913.0
49,1,3,2,03-01-2006,2,2661.0,2683.0,29.33,2734.0
50,1,3,2,03-01-2006,3,2624.0,2639.0,28.67,2661.0
51,1,3,2,03-01-2006,4,2641.0,2639.0,28.33,2624.0
52,1,3,2,03-01-2006,5,2742.0,2694.0,29.0,2641.0
53,1,3,2,03-01-2006,6,3051.0,2845.0,28.33,2742.0
54,1,3,2,03-01-2006,7,3601.0,3094.0,28.0,3051.0
55,1,3,2,03-01-2006,8,3886.0,3326.0,28.0,3601.0
56,1,3,2,03-01-2006,9,3910.0,3522.0,27.0,3886.0
57,1,3,2,03-01-2006,10,3944.0,3701.0,27.0,3910.0
58,1,3,2,03-01-2006,11,3975.0,3750.0,27.67,3944.0
59,1,3,2,03-01-2006,12,3961.0,3721.0,27.33,3975.0
60,1,3,2,03-01-2006,13,3928.0,3635.0,27.33,3961.0
61,1,3,2,03-01-2006,14,3883.0,3566.0,28.33,3928.0
62,1,3,2,03-01-2006,15,3835.0,3515.0,27.33,3883.0
63,1,3,2,03-01-2006,16,3857.0,3582.0,27.33,3835.0
64,1,3,2,03-01-2006,17,4135.0,3949.0,26.67,3857.0
65,1,3,2,03-01-2006,18,4420.0,4251.0,24.33,4135.0
66,1,3,2,03-01-2006,19,4396.0,4201.0,24.0,4420.0
67,1,3,2,03-01-2006,20,4283.0,4090.0,22.67,4396.0
68,1,3,2,03-01-2006,21,4114.0,3898.0,21.33,4283.0
69,1,3,2,03-01-2006,22,3815.0,3594.0,20.33,4114.0
70,1,3,2,03-01-2006,23,3415.0,3210.0,19.33,3815.0
71,1,3,2,03-01-2006,24,3121.0,2913.0,17.67,3415.0
72,1,4,3,04-01-2006,1,2934.0,2734.0,19.67,3121.0
73,1,4,3,04-01-2006,2,2847.0,2661.0,18.33,2934.0
74,1,4,3,04-01-2006,3,2802.0,2624.0,17.67,2847.0
75,1,4,3,04-01-2006,4,2814.0,2641.0,16.0,2802.0
76,1,4,3,04-01-2006,5,2914.0,2742.0,15.67,2814.0
77,1,4,3,04-01-2006,6,3217.0,3051.0,13.67,2914.0
78,1,4,3,04-01-2006,7,3773.0,3601.0,12.67,3217.0
79,1,4,3,04-01-2006,8,4008.0,3886.0,12.67,3773.0
80,1,4,3,04-01-2006,9,3989.0,3910.0,13.0,4008.0
81,1,4,3,04-01-2006,10,3962.0,3944.0,16.0,3989.0
82,1,4,3,04-01-2006,11,3946.0,3975.0,21.0,3962.0
83,1,4,3,04-01-2006,12,3943.0,3961.0,24.33,3946.0
84,1,4,3,04-01-2006,13,3873.0,3928.0,26.33,3943.0
85,1,4,3,04-01-2006,14,3830.0,3883.0,29.0,3873.0
86,1,4,3,04-01-2006,15,3793.0,3835.0,30.33,3830.0
87,1,4,3,04-01-2006,16,3846.0,3857.0,29.67,3793.0
88,1,4,3,04-01-2006,17,4169.0,4135.0,28.67,3846.0
89,1,4,3,04-01-2006,18,4407.0,4420.0,28.67,4169.0
90,1,4,3,04-01-2006,19,4374.0,4396.0,28.0,4407.0
91,1,4,3,04-01-2006,20,4258.0,4283.0,26.33,4374.0
92,1,4,3,04-01-2006,21,4078.0,4114.0,26.0,4258.0
93,1,4,3,04-01-2006,22,3760.0,3815.0,26.33,4078.0
94,1,4,3,04-01-2006,23,3367.0,3415.0,27.33,3760.0
95,1,4,3,04-01-2006,24,3053.0,3121.0,27.33,3367.0
96,1,5,4,05-01-2006,1,2847.0,2934.0,27.0,3053.0
97,1,5,4,05-01-2006,2,2749.0,2847.0,26.33,2847.0
98,1,5,4,05-01-2006,3,2704.0,2802.0,26.33,2749.0
99,1,5,4,05-01-2006,4,2713.0,2814.0,26.33,2704.0
100,1,5,4,05-01-2006,5,2801.0,2914.0,27.0,2713.0
101,1,5,4,05-01-2006,6,3084.0,3217.0,26.0,2801.0
102,1,5,4,05-01-2006,7,3627.0,3773.0,26.67,3084.0
103,1,5,4,05-01-2006,8,3915.0,4008.0,27.0,3627.0
104,1,5,4,05-01-2006,9,3926.0,3989.0,27.67,3915.0
105,1,5,4,05-01-2006,10,3952.0,3962.0,28.0,3926.0
106,1,5,4,05-01-2006,11,4011.0,3946.0,28.0,3952.0
107,1,5,4,05-01-2006,12,4024.0,3943.0,28.33,4011.0
108,1,5,4,05-01-2006,13,3976.0,3873.0,29.0,4024.0
109,1,5,4,05-01-2006,14,3916.0,3830.0,29.67,3976.0
110,1,5,4,05-01-2006,15,3857.0,3793.0,30.33,3916.0
111,1,5,4,05-01-2006,16,3866.0,3846.0,30.33,3857.0
112,1,5,4,05-01-2006,17,4113.0,4169.0,30.67,3866.0
113,1,5,4,05-01-2006,18,4368.0,4407.0,30.67,4113.0
114,1,5,4,05-01-2006,19,4337.0,4374.0,30.33,4368.0
115,1,5,4,05-01-2006,20,4219.0,4258.0,30.0,4337.0
116,1,5,4,05-01-2006,21,4031.0,4078.0,30.33,4219.0
117,1,5,4,05-01-2006,22,3716.0,3760.0,30.0,4031.0
118,1,5,4,05-01-2006,23,3324.0,3367.0,29.67,3716.0
119,1,5,4,05-01-2006,24,3012.0,3053.0,29.0,3324.0
120,1,6,5,06-01-2006,1,2808.0,2847.0,29.33,3012.0
121,1,6,5,06-01-2006,2,2710.0,2749.0,28.67,2808.0
122,1,6,5,06-01-2006,3,2663.0,2704.0,28.33,2710.0
