monthofyear,weekday,Date,Hour,load,prevload,temp,humid,windspd
1,5,01/01/2010,1,2928.0,,24.0,57.0,5.6
1,5,01/01/2010,2,2774.0,,24.0,61.0,0.0
1,5,01/01/2010,3,2671.0,,22.67,61.67,4.33
1,5,01/01/2010,4,2610.0,,24.0,53.0,9.3
1,5,01/01/2010,5,2618.0,,23.0,61.0,2.8
1,5,01/01/2010,6,2706.0,,22.0,58.0,3.7
1,5,01/01/2010,7,2829.0,,24.0,53.0,13.0
1,5,01/01/2010,8,2967.0,,24.0,48.5,12.05
1,5,01/01/2010,9,3148.0,,23.0,45.0,0.0
1,5,01/01/2010,10,3348.0,,25.0,47.0,9.3
1,5,01/01/2010,11,3501.0,,27.5,40.5,13.9
1,5,01/01/2010,12,3555.0,,29.0,35.67,10.53
1,5,01/01/2010,13,3538.0,,30.5,36.0,10.2
1,5,01/01/2010,14,3492.0,,32.0,36.0,8.35
1,5,01/01/2010,15,3483.0,,32.33,35.67,11.73
1,5,01/01/2010,16,3540.0,,30.5,47.0,17.6
1,5,01/01/2010,17,3826.0,,31.0,40.5,13.9
1,5,01/01/2010,18,4037.0,,29.33,43.0,11.13
1,5,01/01/2010,19,3950.0,,28.0,58.0,11.1
1,5,01/01/2010,20,3799.0,,27.5,56.0,9.25
1,5,01/01/2010,21,3644.0,,27.33,50.33,7.4
1,5,01/01/2010,22,3429.0,,27.0,51.0,5.6
1,5,01/01/2010,23,3169.0,,27.0,51.0,9.3
1,5,01/01/2010,24,2923.0,,26.0,55.33,3.73
1,6,02/01/2010,1,2743.0,2928.0,27.0,54.0,7.45
1,6,02/01/2010,2,2628.0,2774.0,26.5,55.5,7.45
1,6,02/01/2010,3,2574.0,2671.0,24.33,60.0,7.43
1,6,02/01/2010,4,2557.0,2610.0,25.0,57.0,5.6
1,6,02/01/2010,5,2589.0,2618.0,25.0,57.0,6.5
1,6,02/01/2010,6,2676.0,2706.0,23.5,65.0,0.0
1,6,02/01/2010,7,2853.0,2829.0,24.0,65.0,6.5
1,6,02/01/2010,8,3069.0,2967.0,25.0,59.0,6.5
1,6,02/01/2010,9,3322.0,3148.0,24.67,56.33,5.57
1,6,02/01/2010,10,3539.0,3348.0,26.0,52.5,7.4
1,6,02/01/2010,11,3666.0,3501.0,29.0,42.0,13.9
1,6,02/01/2010,12,3733.0,3555.0,31.0,34.0,11.1
1,6,02/01/2010,13,3730.0,3538.0,31.5,39.0,11.1
1,6,02/01/2010,14,3689.0,3492.0,33.0,38.0,11.1
1,6,02/01/2010,15,3651.0,3483.0,33.5,32.0,13.9
1,6,02/01/2010,16,3690.0,3540.0,32.5,42.0,14.8
1,6,02/01/2010,17,3991.0,3826.0,31.0,47.5,14.8
1,6,02/01/2010,18,4218.0,4037.0,29.67,50.67,11.77
1,6,02/01/2010,19,4141.0,3950.0,29.0,53.0,10.2
1,6,02/01/2010,20,3978.0,3799.0,28.0,54.0,11.1
1,6,02/01/2010,21,3811.0,3644.0,28.0,58.33,6.8
1,6,02/01/2010,22,3585.0,3429.0,28.0,60.0,10.2
1,6,02/01/2010,23,3316.0,3169.0,27.5,68.0,7.4
1,6,02/01/2010,24,3088.0,2923.0,26.33,69.33,3.1
1,7,03/01/2010,1,2901.0,2743.0,27.0,63.0,7.45
1,7,03/01/2010,2,2795.0,2628.0,27.0,61.0,9.25
1,7,03/01/2010,3,2726.0,2574.0,26.0,65.0,2.47
1,7,03/01/2010,4,2696.0,2557.0,26.5,63.0,4.65
1,7,03/01/2010,5,2698.0,2589.0,26.0,65.0,3.7
1,7,03/01/2010,6,2785.0,2676.0,25.0,70.67,3.1
1,7,03/01/2010,7,2935.0,2853.0,26.0,69.0,7.4
1,7,03/01/2010,8,3096.0,3069.0,25.0,74.0,0.0
1,7,03/01/2010,9,3330.0,3322.0,25.0,72.0,6.2
1,7,03/01/2010,10,3537.0,3539.0,26.5,65.0,7.4
1,7,03/01/2010,11,3617.0,3666.0,28.0,58.0,7.4
1,7,03/01/2010,12,3680.0,3733.0,30.0,50.5,5.55
1,7,03/01/2010,13,3709.0,3730.0,29.5,60.0,11.1
1,7,03/01/2010,14,3682.0,3689.0,30.0,58.0,12.05
1,7,03/01/2010,15,3650.0,3651.0,30.33,52.67,14.8
1,7,03/01/2010,16,3707.0,3690.0,29.0,60.0,18.55
1,7,03/01/2010,17,4024.0,3991.0,27.5,63.5,17.6
1,7,03/01/2010,18,4226.0,4218.0,26.5,59.0,13.9
1,7,03/01/2010,19,4132.0,4141.0,27.0,61.0,7.4
1,7,03/01/2010,20,3976.0,3978.0,26.0,69.0,12.05
1,7,03/01/2010,21,3748.0,3811.0,26.0,64.0,10.5
1,7,03/01/2010,22,3462.0,3585.0,26.0,65.0,8.35
1,7,03/01/2010,23,3144.0,3316.0,26.0,63.0,11.1
1,7,03/01/2010,24,2904.0,3088.0,24.5,63.0,7.45
1,1,04/01/2010,1,2747.0,2901.0,25.0,65.0,5.6
1,1,04/01/2010,2,2643.0,2795.0,25.0,65.0,0.0
1,1,04/01/2010,3,2609.0,2726.0,23.67,66.67,4.33
1,1,04/01/2010,4,2653.0,2696.0,24.0,61.0,8.35
1,1,04/01/2010,5,2762.0,2698.0,24.0,61.0,9.3
1,1,04/01/2010,6,3060.0,2785.0,23.0,62.0,8.07
1,1,04/01/2010,7,3538.0,2935.0,23.0,65.0,8.35
1,1,04/01/2010,8,3733.0,3096.0,23.0,65.0,11.15
1,1,04/01/2010,9,3768.0,3330.0,22.5,65.5,5.55
